CVE-ID,poc,苹果描述,影响,模块,版本,
"CVE-2016-1815：
CVE-2016-1817：
CVE-2016-1818：
CVE-2016-1819：",ppt待确认,多个内存损坏问题已通过改进内存处理得到解决。,应用程序或许能够以内核权限执行任意代码,IOAcceleratorFamily,OS X El Capitan v10.11 及更高版本,
"CVE-2016-1813：
CVE-2016-1816：",未发现,"空指针取消引用问题已通过改进验证得到解决。
",应用程序或许能够以内核权限执行任意代码,IOAcceleratorFamily,OS X El Capitan v10.11 及更高版本,
CVE-2016-1820,未发现,"缓冲区溢出问题已通过改进边界检查得到解决。
",应用程序或许能够以内核权限执行任意代码,IOAudioFamily,"OS X El Capitan v10.11 及更高版本
",
CVE-2016-1821,未发现,"空指针取消引用问题已通过改进验证得到解决。
",应用程序或许能够以内核权限执行任意代码,IOAudioFamily,"OS X El Capitan v10.11 及更高版本
",
CVE-2016-1822,未发现,"内存损坏问题已通过改进内存处理得到解决。
",应用程序或许能够以内核权限执行任意代码,IOFireWireFamily,OS X El Capitan v10.11 及更高版本,
"CVE-2016-1823：
CVE-2016-1824：",未发现,内存损坏问题已通过改进内存处理得到解决。,"应用程序或许能够以内核权限执行任意代码
",IOHIDFamily,"OS X El Capitan v10.11 及更高版本
",
CVE-2016-1825,未发现,多个内存损坏问题已通过改进内存处理得到解决。,应用程序或许能够以内核权限执行任意代码,IOHIDFamily,OS X El Capitan v10.11 及更高版本,
"CVE-2016-1827：
CVE-2016-1828：
CVE-2016-1829：
CVE-2016-1830：
CVE-2016-1831：
",未发现,多个内存损坏问题已通过改进内存处理得到解决。,应用程序或许能够以内核权限执行任意代码,"内核
","OS X El Capitan v10.11 及更高版本
",
CVE-2016-1826,未发现,"dtrace 中存在整数溢出问题。此问题已通过改进边界检查得到解决。
",应用程序或许能够以内核权限执行任意代码,内核,OS X El Capitan v10.11 及更高版本,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
